year,mass,mission,organisation,description_verbatim,failure_severity,never_heard_from,failure_inferred_only_from_absence_of_publications,source,source_type
2000,.5 kg,Artemis Picosats: Thelma - 0.5 kg,"Louise - 0.5 kg, and JAK - 0.2 kg Santa Clara University, USA","Launched from OPAL mother satellite, but no signals received for any of these satellites.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2000,5.9 kg,ASUSat-1 Arizona State University A problem with the power system prevented solar arrays from charging the batteries,Unknown,Satellite lost power 15 hours after deployment in orbit.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2000,52 kg,FalconSat-1 US Air Force Academy,Unknown,The FalconSat-1 spacecraft failed on-orbit soon after deployment because the power system was unable to charge the batteries.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2000,0.24 kg,StenSat,Unknown,Launched from OPAL satellite. Successfully released from OPAL but no signals were received.,Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2000,12 kg,UniSat-1 University of Rome,Unknown,"Presumed mission failure. Many papers written in years preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2001,92 kg,BIRD DLR,Unknown,"Failure of 3 of 4 reaction wheels occurred, plus failure of the gyroscope. New control software was uploaded to use magnetic torque coil control as a back-up to enable the mission to continue with suboptimal direction control. Solar panels not always aligned to sun, leading to incomplete charging of power system.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2001,20.5 kg,Kolibri-2000 Moscow State University and Australia Knox and Ravenswood Schools,Unknown,Successfully launched into orbit and contact maintained with ground station for 711 Earth orbits. Carried a fluxgate magnetometer and particle analyzer but insufficient amount of data collected to be useful for analysis.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2001,47 kg,Maroc-Tubsat CRTS,TU-Berlin,"Satellite reported to operate nominally, yet frequently in hibernation mode.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2001,250 kg,Odin Space agencies of Sweden,"Canada, France, and Finland a","Odin Space agencies of Sweden, Canada, France, and Finland as partners Odin lost control of one reaction wheel mid-mission, but a redundant wheel allowed mission to continue without loss of performance.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2001,52 kg,SimpleSat NASA Goddard,Unknown,"After deployment, no contact could be established. Suspected transmitter failure.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2002,89 kg,DASH ISAS & NASDA,Japan,Satellite likely did not separate from main satellite after launch. No was contact established.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2002,1.5 kg,MEPSI 1A and 1B,Unknown,"The Aerospace Corporation Successful launched tethered pair of satellites from ISS, but presumed mission failure as no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2002,12 kg,UniSat-2 University of Rome,Unknown,"Presumed mission failure. Many papers written in years preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2002,33 kg,VEP 3 NASDA,Japan Did not deploy a small satellite it carri,"VEP 3 NASDA, Japan Did not deploy a small satellite it carried.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2003,1 kg,AAU-CubeSat-1 Aalborg University,Denmark,"Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2003,1 kg,CanX-1 University of Toronto,Canada,"Satellite deployed into orbit, but no signals were received.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2003,1U,DTUSat 1 Denmark Technical University,Unknown,"Successfully launched, but two-way contact with the satellite was never established.",Unknown (table column lost in PDF extraction),Yes,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2003,66 kg,MIMOSA Academy of Sciences of the Czech Republic,Unknown,Never became fully functional due to accelerometer proof mass being able to move freely in only two axes.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2003,3U,QuakeSat,"3U CubeSat, Stanford University","6 months into launch, both batteries were lost, allowing the mission to continue on solar power only. Loss of batteries thought due to high battery temperatures (120 degrees Fahrenheit) which may have caused the electrolyte to bake out since the batteries were not sealed beyond the normal factory packaging.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2003,1 kg,XI-4 University of Tokyo,Unknown,"Presumed mission failure. Many papers written in years preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2004,12 kg,UniSat-3 University of Rome Magnetometer had a z-axis failur,Unknown,UniSat-3 University of Rome Magnetometer had a z-axis failure the first year in orbit.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2005,360 kg,DART NASA – Orbital Sciences Corporation Objective to rendez,Unknown,"DART NASA – Orbital Sciences Corporation Objective to rendezvous with target satellite was successful, but DART actually hit the satellite and then placed itself in retirement phase before completing all mission operations.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2005,50 kg,(est.) Mozhayets 5 Mozhaisky military academy,Unknown,Failed to separate from launch vehicle.,Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2005,1 kg,Ncube 2 Norwegian Student,Unknown,"Satellite Project Launched on the SSETI- Express satellite, but was most likely not deployed.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2005,1U,UWE-1 University of Würzburg and Fachhochschule Weingarten,Unknown,"UWE-1 University of Würzburg and Fachhochschule Weingarten, Germany Successful mission at first, but contact with satellite lost after two weeks.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2005,1 kg,XI-5,Unknown,"Presumed mission failure. Many papers written in years University of Tokyo preceding launch, but no papers or articles were written post launch.",Unknown (table column lost in PDF extraction),No,Yes,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
2006,85 kg,COMPASS-2 Russian Academy of Sciences Note: COMPASS-2 launched before COMPASS-1 because two satellite makers chose the same acronym,Unknown,"The COMPASS-2 spacecraft lost communication after launch due to a stabilization problem. The spacecraft did not respond to ground commands for six months. Although communications with the satellite were restored, a failure with the power system allowed only a very limited amount of data to be transmitted.",Unknown (table column lost in PDF extraction),No,No,https://ntrs.nasa.gov/api/citations/20190002705/downloads/20190002705.pdf,Primary (NASA Technical Memorandum)
